seq_id,pred_model,bit_score,evalue,pred_class
tr|A0A9P8PUP6|A0A9P8PUP6_9ASCO,8ca.alpha.45,25.1,4.6e-09,alpha
tr|A0A9P8TZT6|A0A9P8TZT6_9HYPO,8ca.alpha.45,25.0,4.9e-09,alpha
tr|A0A9P8VSN9|A0A9P8VSN9_9HYPO,8ca.alpha.45,28.6,3.9e-10,alpha
tr|A0A9P9R2L6|A0A9P9R2L6_9PEZI,8ca.alpha.45,25.8,2.8e-09,alpha
tr|A0A9P9XHL2|A0A9P9XHL2_9PEZI,8ca.alpha.45,25.1,4.5e-09,alpha
tr|A0A9Q0BUT2|A0A9Q0BUT2_9MUSC,8ca.beta.45,16.4,2.2e-06,beta
tr|A0A9Q0RY70|A0A9Q0RY70_9DIPT,8ca.beta.45,87.6,4.1e-28,beta
tr|A0A9Q0XDE0|A0A9Q0XDE0_9SAUR,8ca.beta.45,59.6,1.5e-19,beta
tr|A0A9Q0ZX85|A0A9Q0ZX85_SALVM,8ca.beta.45,180.9,1.4e-56,beta
tr|A0A9Q5HUE1|A0A9Q5HUE1_SANBA,8ca.alpha.45,92.3,1.1e-29,alpha
tr|A0A9Q8WCY5|A0A9Q8WCY5_9PEZI,8ca.alpha.45,25.1,4.5e-09,alpha
tr|A0A9Q9W9I0|A0A9Q9W9I0_CYPCA,8ca.beta.45,128.3,1.4999999999999999e-40,beta
tr|A0A9V1ERH7|A0A9V1ERH7_PANPR,8ca.beta.45,123.2,5.7e-39,beta
tr|A0A9V1EZQ5|A0A9V1EZQ5_PANPR,,,,NO_HIT
tr|A0A9V1FTI5|A0A9V1FTI5_PANPR,8ca.beta.45,161.9,9.1e-51,beta
tr|A0A9V1GMJ3|A0A9V1GMJ3_PANPR,8ca.beta.45,98.4,2e-31,beta
tr|A0A9V1GN73|A0A9V1GN73_PANPR,8ca.beta.45,111.2,2.7e-35,beta
tr|A0A9W3EK24|A0A9W3EK24_CAMBA,8ca.beta.45,151.7,1.0999999999999999e-47,beta
tr|A0A9W3EKR8|A0A9W3EKR8_CAMBA,8ca.beta.45,157.5,1.9e-49,beta
tr|A0A9W3F7M8|A0A9W3F7M8_CAMBA,8ca.beta.45,112.3,1.1999999999999999e-35,beta
tr|A0A9W3HGQ4|A0A9W3HGQ4_CAMBA,8ca.beta.45,174.2,1.6e-54,beta
tr|A0A9W4J6U9|A0A9W4J6U9_9EURO,8ca.alpha.45,24.8,5.5e-09,alpha
tr|A0A9W4MXJ9|A0A9W4MXJ9_PENOL,8ca.alpha.45,25.2,4.2e-09,alpha
tr|A0A9W4N410|A0A9W4N410_9EURO,8ca.alpha.45,24.6,6.3e-09,alpha
tr|A0A9W6I9F1|A0A9W6I9F1_9ACTN,8ca.alpha.45,16.3,2.4e-06,alpha
tr|A0A9W7DJ14|A0A9W7DJ14_AMBMO,8ca.alpha.45,30.5,1e-10,alpha
tr|A0A9W7J6C2|A0A9W7J6C2_HIBTR,8ca.beta.45,182.7,4e-57,beta
tr|A0A9W7Z9H7|A0A9W7Z9H7_9FUNG,8ca.alpha.45,40.2,1.1e-13,alpha
tr|A0A9W7ZAM3|A0A9W7ZAM3_9FUNG,8ca.alpha.45,35.5,2.9e-12,alpha
tr|A0A9W8ADQ1|A0A9W8ADQ1_9FUNG,8ca.alpha.45,26.6,1.6e-09,alpha
tr|A0A9W8AI16|A0A9W8AI16_9FUNG,8ca.alpha.45,26.4,1.8e-09,alpha
tr|A0A9W8CA40|A0A9W8CA40_TRIRA,8ca.beta.45,122.2,1.1e-38,beta
tr|A0A9W8CQR5|A0A9W8CQR5_9FUNG,8ca.alpha.45,35.9,2.2e-12,alpha
tr|A0A9W8HDY7|A0A9W8HDY7_9FUNG,8ca.alpha.45,32.5,2.5e-11,alpha
tr|A0A9W8KAE0|A0A9W8KAE0_9AGAR,8ca.alpha.45,15.7,3.5e-06,alpha
tr|A0A9W9B9I7|A0A9W9B9I7_9HYPO,8ca.alpha.45,23.5,1.4e-08,alpha
tr|A0A9W9J7L8|A0A9W9J7L8_9EURO,8ca.alpha.45,23.4,1.5e-08,alpha
tr|A0A9W9K1H2|A0A9W9K1H2_9EURO,8ca.alpha.45,22.1,3.9e-08,alpha
tr|A0A9W9KDF8|A0A9W9KDF8_9EURO,8ca.alpha.45,30.4,1.1e-10,alpha
tr|A0A9W9KIT9|A0A9W9KIT9_9EURO,8ca.alpha.45,27.8,6.7e-10,alpha
tr|A0A9W9NTQ2|A0A9W9NTQ2_9EURO,8ca.alpha.45,25.0,5e-09,alpha
tr|A0A9W9Q4G8|A0A9W9Q4G8_9EURO,8ca.alpha.45,26.1,2.3e-09,alpha
tr|A0A9W9R1V8|A0A9W9R1V8_PENBR,8ca.alpha.45,25.5,3.4e-09,alpha
tr|A0A9W9RMV6|A0A9W9RMV6_PENBR,8ca.alpha.45,25.4,3.6e-09,alpha
tr|A0A9W9SF33|A0A9W9SF33_9EURO,8ca.alpha.45,26.5,1.7e-09,alpha
tr|A0A9W9TGV7|A0A9W9TGV7_PENCI,8ca.alpha.45,29.7,1.8e-10,alpha
tr|A0A9W9WLV9|A0A9W9WLV9_9EURO,8ca.alpha.45,26.8,1.4e-09,alpha
tr|A0A9X0AKJ3|A0A9X0AKJ3_9HELO,8ca.alpha.45,25.4,3.8e-09,alpha
tr|A0A9X0C6S5|A0A9X0C6S5_9EURO,8ca.alpha.45,26.6,1.6e-09,alpha
tr|A0A9X1NF44|A0A9X1NF44_9ACTN,8ca.alpha.45,17.8,7.9e-07,alpha
tr|A0A9X3SG15|A0A9X3SG15_9ACTN,8ca.alpha.45,22.0,4e-08,alpha
tr|A0A9Y3VP65|A0A9Y3VP65_9CICH,8ca.beta.45,145.4,9.4e-46,beta
tr|A0A9Y4N9C3|A0A9Y4N9C3_9TELE,8ca.beta.45,142.4,7.7e-45,beta
tr|A0AA39CWV8|A0AA39CWV8_9EURO,8ca.alpha.45,30.4,1.1e-10,alpha
tr|A0AA39WB68|A0AA39WB68_9PEZI,8ca.alpha.45,25.4,3.6e-09,alpha
tr|A0AA39X199|A0AA39X199_9PEZI,8ca.alpha.45,27.6,8.1e-10,alpha
tr|A0AA39Z0W3|A0AA39Z0W3_9PEZI,8ca.alpha.45,25.9,2.6e-09,alpha
tr|A0AA40DRZ9|A0AA40DRZ9_9PEZI,8ca.alpha.45,26.7,1.5e-09,alpha
tr|A0AA40E3H5|A0AA40E3H5_9PEZI,8ca.alpha.45,25.6,3.1e-09,alpha
tr|A0AA40GKE5|A0AA40GKE5_PYGPA,8ca.beta.45,110.7,3.5999999999999997e-35,beta
tr|A0AA41Q1V4|A0AA41Q1V4_9ACTN,8ca.alpha.45,19.2,3e-07,alpha
tr|A0AA44ZS11|A0AA44ZS11_PSEA5,8ca.alpha.45,16.3,2.3e-06,alpha
tr|A0AA88LNY4|A0AA88LNY4_TACVA,8ca.beta.45,130.9,2.5e-41,beta
tr|A0AA88LQQ4|A0AA88LQQ4_TACVA,8ca.beta.45,95.9,1.2000000000000001e-30,beta
tr|A0AA88P9C0|A0AA88P9C0_9TELE,8ca.beta.45,136.2,6.299999999999999e-43,beta
tr|A0AA88PAW2|A0AA88PAW2_9TELE,8ca.beta.45,108.7,1.5e-34,beta
tr|A0AA88SE56|A0AA88SE56_CHASR,8ca.beta.45,144.3,2.1e-45,beta
tr|A0AA96KEG3|A0AA96KEG3_9GAMM,8ca.beta.45,192.7,3.4e-60,beta
tr|A0AA97LJ86|A0AA97LJ86_EUBMA,8ca.beta.45,139.0,8.8e-44,beta
tr|A0AA97M1A0|A0AA97M1A0_9ACTN,8ca.alpha.45,23.3,1.7e-08,alpha
tr|A0AA97M928|A0AA97M928_9PASS,8ca.beta.45,106.9,5.2e-34,beta
tr|A0AA97PJ06|A0AA97PJ06_PYRO3,8ca.alpha.45,22.6,2.7e-08,alpha
tr|A0AAA9S961|A0AAA9S961_BOVIN,8ca.beta.45,59.6,1.4e-19,beta
tr|A0AAC9MZH3|A0AAC9MZH3_9PSEU,8ca.alpha.45,13.5,1.6e-05,alpha
tr|A0AAC9PTQ9|A0AAC9PTQ9_9PSEU,8ca.alpha.45,14.6,7.8e-06,alpha
tr|A0AAD2HS48|A0AAD2HS48_9AGAR,8ca.alpha.45,49.2,1.8e-16,alpha
tr|A0AAD3U059|A0AAD3U059_9TREE,8ca.alpha.45,23.9,1.1e-08,alpha
tr|A0AAD4HXM6|A0AAD4HXM6_9PEZI,8ca.alpha.45,25.3,4.1e-09,alpha
tr|A0AAD4V8C7|A0AAD4V8C7_PRUDU,8ca.beta.45,372.5,4.9e-115,beta
tr|A0AAD5HQ42|A0AAD5HQ42_9HYPO,8ca.alpha.45,27.6,7.9e-10,alpha
tr|A0AAD5QAD9|A0AAD5QAD9_PYTIN,8ca.alpha.45,23.0,2e-08,alpha
tr|A0AAD5YXG2|A0AAD5YXG2_9AGAR,8ca.alpha.45,86.8,5.1e-28,alpha
tr|A0AAD6DFX8|A0AAD6DFX8_9EURO,8ca.alpha.45,29.7,1.8e-10,alpha
tr|A0AAD6FDP6|A0AAD6FDP6_9TELE,8ca.beta.45,142.6,6.9e-45,beta
tr|A0AAD6G5A9|A0AAD6G5A9_9EURO,8ca.alpha.45,22.1,3.8e-08,alpha
tr|A0AAD6GD09|A0AAD6GD09_PENGL,8ca.alpha.45,26.1,2.3e-09,alpha
tr|A0AAD6HR83|A0AAD6HR83_9EURO,8ca.alpha.45,23.0,2.1e-08,alpha
tr|A0AAD6IH88|A0AAD6IH88_PENCN,8ca.alpha.45,24.6,6.5e-09,alpha
tr|A0AAD6IW80|A0AAD6IW80_ARTDA,8ca.alpha.45,21.2,7e-08,alpha
tr|A0AAD7K0W7|A0AAD7K0W7_9AGAR,,,,NO_HIT
tr|A0AAD7WWP8|A0AAD7WWP8_9TELE,8ca.beta.45,145.6,8.299999999999999e-46,beta
tr|A0AAD8CF70|A0AAD8CF70_ACIOX,8ca.beta.45,81.2,3.7e-26,beta
tr|A0AAD8CUT8|A0AAD8CUT8_ACIOX,8ca.beta.45,135.5,9.899999999999998e-43,beta
tr|A0AAD8FU78|A0AAD8FU78_ACIOX,8ca.beta.45,135.9,7.399999999999999e-43,beta
tr|A0AAD8H3T6|A0AAD8H3T6_9APIA,8ca.alpha.45,23.0,2e-08,alpha
tr|A0AAD9BHU3|A0AAD9BHU3_DISEL,8ca.beta.45,142.4,7.7e-45,beta
tr|A0AAD9FIJ4|A0AAD9FIJ4_DISEL,8ca.beta.45,125.2,1.3999999999999999e-39,beta
tr|A0AAD9IAG9|A0AAD9IAG9_9PEZI,8ca.alpha.45,17.1,1.3e-06,alpha
tr|A0AAD9M3R5|A0AAD9M3R5_9PEZI,8ca.alpha.45,24.1,9.5e-09,alpha
tr|A0AAD9TX70|A0AAD9TX70_9ROSI,8ca.beta.45,197.8,9.7e-62,beta
tr|A0AAD9WFE8|A0AAD9WFE8_9HELO,8ca.alpha.45,26.6,1.6e-09,alpha
tr|A0AAE0H8C4|A0AAE0H8C4_9PEZI,8ca.alpha.45,22.7,2.5e-08,alpha
tr|A0AAE0JHZ4|A0AAE0JHZ4_9PEZI,8ca.alpha.45,25.4,3.7e-09,alpha
tr|A0AAE0JUR8|A0AAE0JUR8_9PEZI,8ca.alpha.45,26.7,1.5e-09,alpha
tr|A0AAE0K0V3|A0AAE0K0V3_9PEZI,8ca.alpha.45,27.0,1.2e-09,alpha
tr|A0AAE0LZ98|A0AAE0LZ98_9PEZI,8ca.alpha.45,26.4,1.8e-09,alpha
tr|A0AAE0XB62|A0AAE0XB62_9PEZI,8ca.alpha.45,23.8,1.1e-08,alpha
tr|A0AAE1IFN0|A0AAE1IFN0_9HYPO,8ca.alpha.45,23.8,1.2e-08,alpha
tr|A0AAE3GDS8|A0AAE3GDS8_9PSEU,8ca.alpha.45,16.6,1.8e-06,alpha
tr|A0AAE8N2P4|A0AAE8N2P4_9PEZI,8ca.alpha.45,22.5,2.9e-08,alpha
tr|A0AAF0E8S8|A0AAF0E8S8_9BASI,8ca.alpha.45,29.1,2.6e-10,alpha
tr|A0AAF0J925|A0AAF0J925_9BASI,8ca.alpha.45,32.2,3e-11,alpha
tr|A0AAI7ZEI6|A0AAI7ZEI6_XANAC,8ca.alpha.45,37.6,6.9e-13,alpha
tr|A0AAI8VWY5|A0AAI8VWY5_9PEZI,8ca.alpha.45,25.0,4.9e-09,alpha
tr|A0AAI9UPH3|A0AAI9UPH3_9PEZI,8ca.alpha.45,25.1,4.5e-09,alpha
tr|A0AAI9XYE4|A0AAI9XYE4_9PEZI,8ca.alpha.45,25.1,4.5e-09,alpha
tr|A0AAJ0DWB3|A0AAJ0DWB3_9PEZI,8ca.alpha.45,25.1,4.5e-09,alpha
tr|A0AAJ2ICX9|A0AAJ2ICX9_9ACTN,8ca.alpha.45,26.7,1.5e-09,alpha
tr|A0AAJ7UIK0|A0AAJ7UIK0_PETMA,8ca.beta.45,126.4,5.8e-40,beta
tr|A0AAN6D3W4|A0AAN6D3W4_9ASCO,8ca.alpha.45,24.7,6e-09,alpha
tr|A0AAN6DBD0|A0AAN6DBD0_PICAN,8ca.alpha.45,24.7,6e-09,alpha
tr|A0AAN6N2X9|A0AAN6N2X9_9PEZI,8ca.alpha.45,28.0,5.8e-10,alpha
tr|A0AAN6TDV9|A0AAN6TDV9_9PEZI,8ca.alpha.45,26.8,1.4e-09,alpha
tr|A0AAN6UDC5|A0AAN6UDC5_9PEZI,8ca.alpha.45,29.1,2.8e-10,alpha
tr|A0AAN6XN07|A0AAN6XN07_9PEZI,8ca.alpha.45,22.9,2.2e-08,alpha
tr|A0AAN6YG30|A0AAN6YG30_9PEZI,8ca.alpha.45,26.2,2e-09,alpha
tr|A0AAN6ZJC1|A0AAN6ZJC1_9PEZI,8ca.alpha.45,26.6,1.6e-09,alpha
tr|A0AAN7GP95|A0AAN7GP95_9PEZI,8ca.alpha.45,25.2,4.4e-09,alpha
tr|A0AAN7UJL3|A0AAN7UJL3_9PEZI,8ca.alpha.45,25.1,4.6e-09,alpha
tr|A0AAN7XE67|A0AAN7XE67_ELEMC,8ca.beta.45,132.2,1e-41,beta
tr|A0AAN8AQR2|A0AAN8AQR2_ELEMC,8ca.beta.45,120.6,3.4e-38,beta
tr|A0AAN8BMD1|A0AAN8BMD1_9TELE,8ca.beta.45,140.5,3.1000000000000003e-44,beta
tr|A0AAN8E193|A0AAN8E193_CHAGU,8ca.beta.45,126.3,6.5e-40,beta
tr|A0AAN8HK99|A0AAN8HK99_CHAGU,8ca.beta.45,139.5,5.999999999999999e-44,beta
tr|A0AAN8HKC7|A0AAN8HKC7_CHAGU,8ca.beta.45,139.5,6.100000000000001e-44,beta
tr|A0AAN8RHI4|A0AAN8RHI4_9PEZI,8ca.alpha.45,14.8,6.6e-06,alpha
tr|A0AAN8RNZ0|A0AAN8RNZ0_9PEZI,8ca.alpha.45,14.6,7.5e-06,alpha
tr|A0AAN9YE87|A0AAN9YE87_9PEZI,8ca.alpha.45,22.9,2.1e-08,alpha
tr|A0AAP0QUR5|A0AAP0QUR5_9ROSI,8ca.alpha.45,18.8,3.9e-07,alpha
tr|A0AAQ0RDC8|A0AAQ0RDC8_9NOCA,8ca.alpha.45,21.7,5e-08,alpha
tr|A0AAQ4P448|A0AAQ4P448_GASAC,8ca.beta.45,140.9,2.2e-44,beta
tr|A0AAQ4QR69|A0AAQ4QR69_GASAC,8ca.beta.45,138.9,8.8e-44,beta
tr|A0AAQ6ANX3|A0AAQ6ANX3_AMPOC,8ca.beta.45,124.6,2.1e-39,beta
tr|A0AAU9YKM9|A0AAU9YKM9_PHORO,8ca.beta.45,128.1,1.8e-40,beta
tr|A0AAV1PJ97|A0AAV1PJ97_SCOSC,8ca.beta.45,135.4,1.1e-42,beta
tr|A0AAV2JDQ6|A0AAV2JDQ6_KNICA,8ca.beta.45,141.6,1.4e-44,beta
tr|A0AAV2YBZ7|A0AAV2YBZ7_9STRA,8ca.alpha.45,22.0,4e-08,alpha
tr|A0AAV5J8Q5|A0AAV5J8Q5_9ROSI,8ca.beta.45,206.5,2.2e-64,beta
tr|A0AAV5QYX7|A0AAV5QYX7_PICKL,8ca.alpha.45,29.6,1.9e-10,alpha
tr|A0AAV5R130|A0AAV5R130_PICKL,8ca.alpha.45,29.5,2.1e-10,alpha
tr|A0AAV6GCY3|A0AAV6GCY3_9TELE,8ca.beta.45,128.9,1e-40,beta
tr|A0AAV6KT33|A0AAV6KT33_9ERIC,8ca.beta.45,194.3,1.1000000000000001e-60,beta
tr|A0AAV6MMP6|A0AAV6MMP6_9ROSI,8ca.beta.45,196.6,2.3999999999999997e-61,beta
tr|A0AAV6SFB7|A0AAV6SFB7_SOLSE,8ca.beta.45,135.4,1.1e-42,beta
tr|A0AAV7UCB3|A0AAV7UCB3_PLEWA,8ca.beta.45,133.9,3.1e-42,beta
tr|A0AAV8SH41|A0AAV8SH41_9ROSI,8ca.beta.45,203.9,1.3e-63,beta
tr|A0AAV8TRE4|A0AAV8TRE4_9ROSI,8ca.beta.45,202.4,3.8e-63,beta
tr|A0AAV8XM12|A0AAV8XM12_9CUCU,8ca.alpha.45,21.6,5.4e-08,alpha
tr|A0AAV9HZ85|A0AAV9HZ85_9PEZI,8ca.alpha.45,27.1,1.1e-09,alpha
tr|A0AAV9NSA2|A0AAV9NSA2_9EURO,8ca.alpha.45,31.6,4.5e-11,alpha
tr|A0AAV9T038|A0AAV9T038_9PEZI,8ca.alpha.45,30.0,1.4e-10,alpha
tr|A0AAV9ULE0|A0AAV9ULE0_9PEZI,8ca.alpha.45,18.5,4.8e-07,alpha
tr|A0AAV9VNJ0|A0AAV9VNJ0_9PEZI,,,,NO_HIT
tr|A0AAV9WI38|A0AAV9WI38_9PEZI,8ca.alpha.45,14.8,6.5e-06,alpha
tr|A0AAV9X7G5|A0AAV9X7G5_9PEZI,8ca.alpha.45,16.6,1.8e-06,alpha
tr|A0AAW0DPW8|A0AAW0DPW8_9AGAR,,,,NO_HIT
tr|A0AAW1WAK2|A0AAW1WAK2_RUBAR,8ca.beta.45,33.0,1.9e-11,beta
tr|A0AAW1XV08|A0AAW1XV08_RUBAR,8ca.beta.45,197.2,1.4999999999999999e-61,beta
tr|A0AAW1XW77|A0AAW1XW77_RUBAR,8ca.beta.45,201.3,8.5e-63,beta
tr|A0AAW1ZMP8|A0AAW1ZMP8_CULAL,8ca.beta.45,138.7,1e-43,beta
tr|A0AAW2CLI7|A0AAW2CLI7_9ROSI,8ca.beta.45,195.4,5.4e-61,beta
tr|A0AAW2CM51|A0AAW2CM51_9ROSI,8ca.beta.45,195.2,5.9e-61,beta
tr|A0AAW3EWP5|A0AAW3EWP5_BURGA,8ca.alpha.45,25.0,4.9e-09,alpha
tr|A0AAW6LJS2|A0AAW6LJS2_RHOSG,8ca.alpha.45,20.8,9.8e-08,alpha
tr|A0AAX1JC63|A0AAX1JC63_9MYCO,8ca.alpha.45,30.7,8.7e-11,alpha
tr|A0AAX3ZZV2|A0AAX3ZZV2_RHOER,8ca.alpha.45,21.6,5.3e-08,alpha
tr|A0AAX4ISM3|A0AAX4ISM3_9PEZI,8ca.alpha.45,29.9,1.6e-10,alpha
tr|A0AAZ3RRS0|A0AAZ3RRS0_ONCTS,8ca.beta.45,148.9,8.399999999999999e-47,beta
tr|A0AB34HWN1|A0AB34HWN1_ESCRO,8ca.beta.45,152.8,5.2000000000000004e-48,beta
tr|A0AB38FI15|A0AB38FI15_RHOWR,8ca.alpha.45,16.9,1.5e-06,alpha
tr|A0AB38MPW2|A0AB38MPW2_9BASI,8ca.alpha.45,16.7,1.7e-06,alpha
tr|A0AB38R8H8|A0AB38R8H8_RHOSG,8ca.alpha.45,20.6,1.1e-07,alpha
tr|A0EGQ1|A0EGQ1_PARTE,8ca.alpha.45,8.5,0.00059,alpha
sp|A0R566|CYNT_MYCS2,8ca.alpha.45,26.4,1.8e-09,alpha
sp|A0ZSF6|MAC1_CRANI,8ca.beta.45,61.6,3.6e-20,beta
tr|A1CDV6|A1CDV6_ASPCL,8ca.alpha.45,26.8,1.4e-09,alpha
tr|A2IBE0|A2IBE0_RAT,8ca.beta.45,129.5,6.499999999999999e-41,beta
tr|A2IBE2|A2IBE2_RAT,8ca.beta.45,144.3,2.1e-45,beta
tr|A2VD39|A2VD39_DANRE,8ca.beta.45,104.8,2.3000000000000002e-33,beta
tr|A6HHN2|A6HHN2_RAT,8ca.beta.45,117.9,2.3e-37,beta
tr|A6IH09|A6IH09_RAT,8ca.beta.45,164.2,1.7e-51,beta
tr|A6J5I4|A6J5I4_RAT,8ca.beta.45,95.2,1.9999999999999998e-30,beta
tr|A6J5I5|A6J5I5_RAT,8ca.beta.45,95.4,1.7e-30,beta
tr|A7E4C4|A7E4C4_SCLS1,8ca.alpha.45,25.5,3.3e-09,alpha
tr|A8KB74|A8KB74_DANRE,8ca.beta.45,137.8,2e-43,beta
tr|A8MQY4|A8MQY4_ARATH,8ca.alpha.45,25.3,4e-09,alpha
tr|A9JSU9|A9JSU9_DANRE,8ca.beta.45,122.2,1.1e-38,beta
tr|A9XTM7|A9XTM7_PENMO,,,,NO_HIT
tr|B2APG7|B2APG7_PODAN,8ca.alpha.45,25.5,3.4e-09,alpha
sp|B3A0P2|CAH1_LOTGI,8ca.beta.45,85.6,1.7000000000000002e-27,beta
sp|B3A0Q6|CAH2_LOTGI,8ca.beta.45,56.4,1.4e-18,beta
tr|B3LZ10|B3LZ10_DROAN,8ca.alpha.45,30.1,1.4e-10,alpha
tr|B8ACD0|B8ACD0_ORYSI,8ca.alpha.45,14.1,1.1e-05,alpha
tr|B8PXM1|B8PXM1_9EURO,8ca.alpha.45,32.3,2.8e-11,alpha
tr|C0ZMN6|C0ZMN6_RHOE4,8ca.alpha.45,21.6,5.5e-08,alpha
tr|C1L336|C1L336_SORMA,8ca.alpha.45,25.8,2.8e-09,alpha
tr|C4R8B2|C4R8B2_KOMPG,8ca.alpha.45,27.7,7.1e-10,alpha
tr|C5FUH9|C5FUH9_ARTOC,8ca.alpha.45,33.5,1.2e-11,alpha
tr|C5M9L8|C5M9L8_CANTT,8ca.alpha.45,23.7,1.2e-08,alpha
tr|C7Z048|C7Z048_FUSV7,8ca.alpha.45,28.5,4.3e-10,alpha
tr|C9SCI8|C9SCI8_VERA1,8ca.alpha.45,24.0,1e-08,alpha
sp|D0KZ73|CSOSD_HALNC,,,,NO_HIT
tr|D3D975|D3D975_9ACTN,8ca.alpha.45,12.2,4.1e-05,alpha
tr|D3NQA9|D3NQA9_CAEEL,8ca.alpha.45,22.0,4e-08,alpha
tr|D4DD54|D4DD54_TRIVH,8ca.alpha.45,31.1,6.7e-11,alpha
sp|D4GVJ3|JAMM2_HALVD,,,,NO_HIT
tr|D4PB71|D4PB71_LEMCA,8ca.beta.45,166.0,5.1e-52,beta
tr|D7B0S7|D7B0S7_NOCDD,8ca.alpha.45,21.0,8.4e-08,alpha
tr|D7L9P3|D7L9P3_ARALL,8ca.alpha.45,25.0,4.9e-09,alpha
tr|D7LUA2|D7LUA2_ARALL,8ca.beta.45,202.9,2.7999999999999997e-63,beta
tr|E1BHA4|E1BHA4_BOVIN,8ca.beta.45,172.0,7.2e-54,beta
tr|E1BPA4|E1BPA4_BOVIN,8ca.beta.45,126.5,5.4e-40,beta
tr|E3H3J0|E3H3J0_ROTDC,8ca.alpha.45,26.1,2.2e-09,alpha
tr|E5RFE7|E5RFE7_HUMAN,8ca.beta.45,109.5,8.7e-35,beta
tr|E5RFL2|E5RFL2_HUMAN,8ca.beta.45,71.8,2.6e-23,beta
tr|E5RG81|E5RG81_HUMAN,8ca.beta.45,63.8,7.2e-21,beta
tr|E5RGU8|E5RGU8_HUMAN,8ca.beta.45,67.3,6.400000000000001e-22,beta
tr|E5RH81|E5RH81_HUMAN,8ca.beta.45,93.0,9.300000000000001e-30,beta
tr|E5RHP7|E5RHP7_HUMAN,8ca.beta.45,161.6,1.1e-50,beta
tr|E5RIF9|E5RIF9_HUMAN,8ca.beta.45,80.1,7.8e-26,beta
tr|E5RII2|E5RII2_HUMAN,8ca.beta.45,55.1,3.3e-18,beta
tr|E5RJF6|E5RJF6_HUMAN,8ca.beta.45,41.4,5.2e-14,beta
tr|E5RJI8|E5RJI8_HUMAN,8ca.beta.45,85.7,1.6000000000000001e-27,beta
tr|E7RVU4|E7RVU4_9BURK,8ca.alpha.45,29.3,2.4e-10,alpha
tr|E9DU81|E9DU81_METAQ,8ca.alpha.45,27.7,7.1e-10,alpha
tr|E9EZV6|E9EZV6_METRA,8ca.alpha.45,27.5,8.3e-10,alpha
tr|E9HWS8|E9HWS8_DAPPU,,,,NO_HIT
tr|E9QB97|E9QB97_DANRE,8ca.beta.45,126.6,5.1e-40,beta
tr|F1LMY3|F1LMY3_RAT,8ca.beta.45,106.6,6.3e-34,beta
tr|F1LP13|F1LP13_RAT,8ca.beta.45,108.7,1.5e-34,beta
tr|F1LQ08|F1LQ08_RAT,8ca.beta.45,145.8,7.299999999999999e-46,beta
tr|F1N0H3|F1N0H3_BOVIN,8ca.beta.45,169.4,4.5e-53,beta
tr|F1Q816|F1Q816_DANRE,8ca.beta.45,101.8,1.9e-32,beta
tr|F1SGH0|F1SGH0_PIG,8ca.beta.45,97.0,5.7e-31,beta
tr|F2PSP0|F2PSP0_TRIEC,8ca.alpha.45,23.2,1.8e-08,alpha
tr|F2QYT3|F2QYT3_KOMPC,8ca.alpha.45,27.7,7.1e-10,alpha
tr|F2SXC7|F2SXC7_TRIRC,8ca.alpha.45,32.2,3e-11,alpha
sp|F4HUC4|ATCA5_ARATH,8ca.beta.45,198.3,6.8e-62,beta
sp|F4JIK2|ATCA4_ARATH,8ca.beta.45,199.7,2.6e-62,beta
tr|F4K873|F4K873_ARATH,8ca.alpha.45,25.1,4.7e-09,alpha
tr|F4K875|F4K875_ARATH,8ca.alpha.45,25.1,4.6e-09,alpha
tr|F4KAQ8|F4KAQ8_ARATH,8ca.gamma.45,117.8,1.6e-37,gamma
tr|F6PGF8|F6PGF8_MONDO,8ca.beta.45,164.5,1.4e-51,beta
tr|F6PY17|F6PY17_HORSE,8ca.beta.45,113.9,4e-36,beta
tr|F6QBV2|F6QBV2_MONDO,8ca.beta.45,160.2,3e-50,beta
tr|F6TQ14|F6TQ14_MACMU,8ca.beta.45,167.7,1.5e-52,beta
tr|F6TQ33|F6TQ33_MACMU,8ca.beta.45,154.5,1.6000000000000002e-48,beta
tr|F6UPK3|F6UPK3_HORSE,8ca.beta.45,127.5,2.8e-40,beta
tr|F6W1D7|F6W1D7_ORNAN,8ca.beta.45,91.1,3.5e-29,beta
tr|F6WI07|F6WI07_XENTR,8ca.beta.45,111.0,2.8999999999999997e-35,beta
tr|F6YS25|F6YS25_HORSE,8ca.beta.45,155.5,8.000000000000001e-49,beta
tr|F6Z7H9|F6Z7H9_MONDO,8ca.beta.45,113.5,5.1000000000000004e-36,beta
tr|F6ZVL3|F6ZVL3_MONDO,8ca.beta.45,114.7,2.2e-36,beta
tr|F7ADG4|F7ADG4_CALJA,8ca.beta.45,115.6,1.2e-36,beta
tr|F7CQP4|F7CQP4_MONDO,8ca.beta.45,118.6,1.5e-37,beta
tr|F7EHH7|F7EHH7_MACMU,8ca.beta.45,106.4,7.6e-34,beta
tr|F7F8S2|F7F8S2_CALJA,8ca.beta.45,110.8,3.3999999999999997e-35,beta
tr|F7FAJ9|F7FAJ9_RAT,8ca.beta.45,144.3,2.1e-45,beta
tr|F7FL00|F7FL00_RAT,8ca.beta.45,126.6,5.1e-40,beta
tr|F7GGG0|F7GGG0_MACMU,8ca.beta.45,128.8,1.1e-40,beta
tr|F7I0J5|F7I0J5_CALJA,8ca.beta.45,117.8,2.6000000000000002e-37,beta
